"id","rt_congruent","rt_incongruent","corr_congruent","corr_incongruent"
"sub-001",0.494432151666357,0.602229160001055,0.933333333333333,0.916666666666667
"sub-002",0.582083088333942,0.699078049999904,1,0.9
"sub-003",0.715685798333773,0.743743951666693,0.983333333333333,0.983333333333333
"sub-004",0.620230628334684,0.837216479993852,1,0.816666666666667
"sub-005",0.680957906660236,1.06086328333865,0.966666666666667,0.583333333333333
"sub-006",0.672515156674975,0.879547024997494,0.983333333333333,1
"sub-007",0.433727576933597,0.480671519417107,0.95,1
"sub-008",0.682605168332641,0.725663721666569,0.983333333333333,0.983333333333333
"sub-010",0.694106418644068,0.908374916666667,0.983050847457627,0.883333333333333
"sub-011",0.81352005214867,1.08642675255032,0.983333333333333,0.95
"sub-012",0.522209487164703,0.72703030538299,0.983333333333333,0.966666666666667
"sub-013",0.687946980008079,0.745251891661125,0.95,0.983333333333333
"sub-014",0.705384376683893,0.785656668346685,1,0.983333333333333
"sub-015",0.684311541670468,0.771799798348608,0.983333333333333,0.983333333333333
"sub-016",1.08515291795023,1.03645297686647,0.983333333333333,0.95
"sub-017",0.621396164999654,0.73904159666672,1,0.966666666666667
"sub-018",0.474984259996563,0.549589706666302,0.966666666666667,0.916666666666667
"sub-019",1.04657122218305,1.25498415620004,0.983333333333333,0.883333333333333
"sub-020",0.87016393000002,1.02694645833331,1,0.983333333333333
"sub-021",0.611078611133333,0.639173144333324,0.933333333333333,0.933333333333333
"sub-022",0.570096585499974,0.675076363983385,0.966666666666667,0.983333333333333
"sub-023",0.660801511233323,0.614152329900026,0.983333333333333,0.966666666666667
"sub-024",0.795326821666651,0.975303108333333,1,0.966666666666667
"sub-025",1.03073753166621,1.12564005333322,1,1
"sub-026",0.663443123312512,0.721247961663175,0.966666666666667,0.883333333333333
"sub-027",0.682621133333333,0.795603165,1,1
"sub-028",0.747532960000293,0.849245425000845,1,0.966666666666667
"sub-029",0.616548747849811,0.746646807783388,0.95,0.9
"sub-030",0.493829103799605,0.581706653416647,0.983333333333333,0.933333333333333
"sub-031",0.746046577750046,0.951046306234639,1,0.966666666666667
"sub-032",0.510643203319826,0.542911756671189,1,0.966666666666667
"sub-033",1.01683298814557,1.13899839586423,1,0.966666666666667
"sub-034",0.593173752782908,0.664535300050192,0.983333333333333,0.966666666666667
"sub-035",0.709912224966653,0.766694879766677,0.983333333333333,0.983333333333333
"sub-036",1.01608730128355,1.55773646106633,1,0.816666666666667
"sub-037",0.567162022800282,0.762225493849837,1,0.983333333333333
"sub-038",0.648399936663918,0.725141973335606,1,1
"sub-040",0.875216978326595,1.1417979016706,1,1
"sub-041",0.489535408332207,0.541807263334825,0.983333333333333,0.966666666666667
"sub-042",0.708853549999185,0.821318863332272,1,0.983333333333333
"sub-043",0.749034381666695,0.864970911666679,0.983333333333333,0.966666666666667
"sub-044",0.603228570466649,0.794133872950063,0.983333333333333,1
"sub-045",0.611309691666762,0.759585663550054,0.95,0.983333333333333
"sub-046",0.535704209666922,0.664510291034094,0.95,0.883333333333333
"sub-047",0.694252900000113,0.906748271665856,0.983333333333333,0.983333333333333
"sub-048",0.791895845871962,1.10783445070653,1,0.783333333333333
"sub-049",0.644385286664086,0.780505013334429,0.933333333333333,0.883333333333333
"sub-050",0.571715126670703,0.616209868337804,0.983333333333333,0.983333333333333
"sub-051",0.551668703338752,0.649033618318693,0.983333333333333,0.916666666666667
"sub-052",0.545941326666677,0.629404758333446,0.983333333333333,0.933333333333333
"sub-053",0.891993614999956,1.23042895333316,1,0.95
"sub-054",0.578806835005526,0.59717390666871,0.983333333333333,0.983333333333333
"sub-055",0.802071498318886,0.859202781672745,1,1
"sub-057",0.789090282650019,0.913073931966672,1,1
"sub-058",0.506631178433357,0.588902495866205,1,0.9
"sub-059",0.598113781867141,0.899389082581426,1,0.95
"sub-060",0.748303655533467,0.993602174299955,1,0.9
"sub-061",0.463051240000641,0.517939231665029,0.983333333333333,0.966666666666667
"sub-062",0.776483230000061,1.06597575333338,1,0.983333333333333
"sub-063",0.620972711666658,0.720885034999996,1,1
"sub-064",0.676467691810103,0.801949637016514,1,0.9
"sub-065",0.55208262501983,0.624406424991321,0.983333333333333,0.983333333333333
"sub-066",0.712549301667605,0.743499058330781,1,0.983333333333333
"sub-067",0.854839580500387,1.1303111916665,0.966666666666667,0.883333333333333
"sub-068",0.657952140949904,0.785536220232946,1,0.966666666666667
"sub-069",0.654345560000365,0.746869213332684,0.983333333333333,0.966666666666667
"sub-070",0.887248224999985,0.993821533333358,1,1
"sub-071",1.05756381807344,1.23940094514789,1,0.933333333333333
"sub-072",0.673552486016464,0.730311221449422,0.95,0.916666666666667
"sub-073",0.969556608333346,0.933479630000019,1,1
"sub-074",0.599709971483147,0.671536833966578,0.95,0.833333333333333
"sub-075",0.896521614532078,1.1709468909669,0.966666666666667,0.9
"sub-076",0.852760365933258,1.06177480958383,0.966666666666667,0.9
"sub-077",0.558596941683326,0.574957954866606,0.983333333333333,0.983333333333333
"sub-078",0.497926327783329,0.489096457649997,0.916666666666667,0.95
"sub-079",0.572625233966672,0.789117588049984,1,1
"sub-080",0.606201344216727,0.68661322531722,1,0.983333333333333
"sub-082",0.61218063596607,0.66548021826602,0.95,0.916666666666667
"sub-083",0.739727291654951,1.06421736335227,1,0.966666666666667
"sub-084",0.512005246665406,0.609417584855692,0.933333333333333,0.933333333333333
"sub-085",0.681686243850042,0.804457394466711,1,0.983333333333333
"sub-086",1.02970209833329,1.34050710166672,1,0.85
"sub-087",0.54026528896793,0.725247145833661,1,0.916666666666667
"sub-088",0.515053283339754,0.588733803333404,1,1
"sub-089",0.655464511666727,0.875713319999992,0.966666666666667,0.933333333333333
"sub-090",0.571956134999967,0.621031228333232,1,0.966666666666667
"sub-091",0.627515639989481,0.653134353326944,0.966666666666667,0.966666666666667
"sub-092",0.688629928502875,0.76292697013899,1,0.85
"sub-093",0.847551870002644,1.01895884332674,1,0.95
"sub-094",0.410617046675179,0.460305451671593,0.966666666666667,0.983333333333333
"sub-095",0.478490040980978,0.553697563954241,0.95,0.966666666666667
"sub-096",0.687845551666881,0.840500878334084,1,0.95
"sub-097",0.645651343330004,0.69000563667117,0.966666666666667,0.983333333333333
"sub-098",0.658625919999516,0.737052983339527,0.983333333333333,1
"sub-099",0.4607229024686,0.480061953298961,0.95,0.883333333333333
"sub-100",0.943344534033531,1.14633070913531,0.983333333333333,0.966101694915254
"sub-101",0.722637878482056,0.832615900716337,1,0.983333333333333
"sub-102",0.585432915699903,0.759737066650011,0.966666666666667,0.9
"sub-103",0.64197030501285,0.715667786668443,1,0.983333333333333
"sub-104",0.489734639995731,0.51981706499743,0.983333333333333,0.966666666666667
"sub-105",0.586271957159624,0.725026211954537,0.966666666666667,0.95
"sub-106",0.486227054997774,0.636640405001041,1,0.9
"sub-107",0.485788323333448,0.699638431667699,0.95,0.866666666666667
"sub-108",0.562975191666798,0.687168033333607,1,0.983333333333333
"sub-109",0.765841553032563,0.917283566234012,0.966666666666667,0.95
"sub-110",0.495840359325909,0.574416935050006,0.966666666666667,0.916666666666667
"sub-111",0.810742442964903,0.940095332593219,0.719298245614035,0.610169491525424
"sub-112",0.638062534062192,0.80665450062564,0.966666666666667,0.966666666666667
"sub-113",0.977163195116672,1.37262809589999,0.966666666666667,0.866666666666667
"sub-114",0.500965185366416,0.517276043118909,0.95,0.916666666666667
"sub-115",0.826226636660673,1.0254647166701,0.983333333333333,0.983333333333333
"sub-116",0.475763463849823,0.557706366666631,0.983333333333333,0.95
"sub-117",0.564260405633339,0.765508484683346,0.983333333333333,0.966666666666667
"sub-118",0.663945069449992,0.910619003450008,0.983333333333333,0.85
"sub-119",0.531662618299742,0.707495682400016,1,0.916666666666667
"sub-120",1.10074921499987,1.16440948333337,0.983333333333333,0.966666666666667
"sub-121",0.512748427100026,0.56494511385005,1,0.9
"sub-122",0.906106455001282,1.15785542166753,1,0.983333333333333
"sub-123",0.601237386716578,0.669206506282596,1,0.916666666666667
"sub-124",0.691477112417245,0.891087190231337,1,0.966666666666667
"sub-125",0.573699083349978,0.668592171665902,1,0.983333333333333
"sub-126",0.712722442083759,0.980577479482841,0.966666666666667,0.966666666666667
"sub-127",0.636817158933506,0.766408754115643,0.933333333333333,0.833333333333333
"sub-128",0.683274422250118,0.908682647150151,1,0.933333333333333
"sub-129",0.579043802849977,0.626004654716599,0.983333333333333,1
"sub-130",0.422906413331414,0.467316586665887,0.95,0.983333333333333
"sub-131",0.596444373334331,0.651893671666039,1,1
"sub-132",0.638327844850452,0.806399771283638,1,1
"sub-133",0.639606791667029,0.774925121666699,0.983333333333333,0.866666666666667
"sub-134",0.581744403866621,0.602653421533432,0.9,0.883333333333333
"sub-135",0.796287947196591,0.945844349283046,1,0.966666666666667
"sub-136",0.749425548149988,0.860884393716662,0.983333333333333,0.966666666666667
"sub-137",0.728050293166659,0.886244126349751,1,0.95
"sub-138",0.698434241665139,0.989148413329774,0.966666666666667,0.933333333333333
"sub-139",0.848657094382846,0.857306290832882,1,0.933333333333333
"sub-140",0.53096544000003,0.709504675000016,0.95,1
"sub-141",0.772782295000312,1.01893780166865,1,1
"sub-142",0.785959708516748,0.893598399316276,1,0.966666666666667
"sub-143",0.567195808333387,0.620067308333228,0.983333333333333,0.966666666666667
"sub-144",0.51844793055,0.574546070216676,0.95,1
"sub-145",0.921188215616591,1.12476809964913,0.95,0.95
"sub-146",0.513445573335048,0.567441634998734,0.933333333333333,0.916666666666667
"sub-147",0.72185432653334,0.811806591216638,1,0.966666666666667
"sub-148",0.602326228447782,0.67231286449969,1,0.983333333333333
"sub-149",0.545780796351998,0.622460817150325,0.983333333333333,0.983333333333333
"sub-150",0.508690784316605,0.52524652856664,0.95,0.95
"sub-151",0.85502699999876,1.07298124166555,0.983333333333333,0.933333333333333
"sub-152",0.526754061166673,0.602963748949992,0.983333333333333,0.983333333333333
"sub-153",0.857271108333225,0.901914406666614,1,0.966666666666667
"sub-154",0.808587854997798,0.905580670012084,1,1
"sub-155",0.715561951664858,0.842535661667353,1,1
"sub-156",0.651416243333333,0.747251816666667,1,0.983333333333333
"sub-157",0.874694526666667,1.09331982333333,1,0.983333333333333
"sub-158",0.755724536666667,1.058640665,0.983333333333333,0.933333333333333
"sub-159",0.602507049988101,0.674239803328722,0.983333333333333,0.983333333333333
"sub-160",0.476402557683226,0.553759318099643,0.983333333333333,1
"sub-161",0.666264911082787,0.823622340933798,0.983333333333333,0.933333333333333
"sub-162",0.517287365003722,0.686958493323376,0.983333333333333,0.95
"sub-163",0.62063828331496,0.936377234970375,1,0.933333333333333
"sub-164",0.698235233333495,0.908066273332831,1,0.883333333333333
"sub-165",1.06072133666215,1.20585743167903,1,0.983333333333333
"sub-167",0.564286501662961,0.679151630004829,0.95,0.916666666666667
"sub-168",0.687407553327891,0.953163023339585,0.983333333333333,1
"sub-169",0.587859899999967,0.754394660450271,0.983333333333333,0.95
"sub-170",0.650870078328686,0.978096289994816,1,0.916666666666667
"sub-171",0.898881193328028,1.16655877497979,1,0.9
"sub-172",0.459262694999537,0.577357664999969,1,0.966666666666667
"sub-173",0.507971729834389,0.606513460350592,1,0.966666666666667
