"","id","condition","N","ncorrect","accuracy","median_rt"
"104","sub-146","speed",60,50,0.833333333333333,1.36986889998661
"105","sub-147","accuracy",60,50,0.833333333333333,1.47243440349996
"106","sub-147","speed",60,46,0.766666666666667,1.28288969749997
"107","sub-149","accuracy",60,44,0.733333333333333,1.01749460003339
"108","sub-149","speed",60,50,0.833333333333333,2.13639669999248
"109","sub-150","accuracy",60,32,0.533333333333333,1.57988469649991
"110","sub-150","speed",60,42,0.7,1.71242191600004
"111","sub-154","accuracy",60,50,0.833333333333333,1.22189355200004
"112","sub-154","speed",60,46,0.766666666666667,1.50126280249998
"113","sub-155","accuracy",60,31,0.516666666666667,1.53033093749945
"114","sub-155","speed",59,40,0.677966101694915,1.07543279199672
"115","sub-158","accuracy",60,41,0.683333333333333,2.5422111999942
"116","sub-158","speed",60,45,0.75,1.85373410000466
"117","sub-159","accuracy",60,48,0.8,3.26476530003128
"118","sub-159","speed",60,46,0.766666666666667,2.2173789999797
"119","sub-160","accuracy",59,50,0.847457627118644,3.06238510005642
"120","sub-160","speed",60,54,0.9,1.52304554998409
"121","sub-161","accuracy",60,38,0.633333333333333,1.82422045012936
"122","sub-161","speed",60,50,0.833333333333333,2.24787760002073
"123","sub-163","accuracy",60,47,0.783333333333333,2.11140481200345
"124","sub-163","speed",60,41,0.683333333333333,1.03833335399758
"125","sub-164","accuracy",60,47,0.783333333333333,2.64420854998753
"126","sub-164","speed",60,36,0.6,0.658911800011992
"127","sub-165","accuracy",60,43,0.716666666666667,1.81424344999869
"128","sub-165","speed",60,30,0.5,0.573538399999961
"129","sub-167","accuracy",60,34,0.566666666666667,2.21676599999773
"130","sub-167","speed",60,35,0.583333333333333,0.621958875002747
"131","sub-168","accuracy",60,42,0.7,6.27761014600037
"132","sub-168","speed",60,41,0.683333333333333,2.63300947899916
"133","sub-178","accuracy",60,32,0.533333333333333,1.35089160400093
"134","sub-178","speed",60,39,0.65,0.974478749980336
"135","sub-180","accuracy",60,35,0.583333333333333,5.44292983350169
"136","sub-180","speed",60,31,0.516666666666667,1.52384841699677
"137","sub-182","accuracy",60,55,0.916666666666667,1.04334005
"138","sub-182","speed",60,49,0.816666666666667,1.0387958
"139","sub-187","accuracy",60,38,0.633333333333333,3.82375124999089
"140","sub-187","speed",60,30,0.5,3.73982254150905
"141","sub-188","accuracy",60,58,0.966666666666667,1.12761405000004
"142","sub-188","speed",60,57,0.95,0.939511500000094
"143","sub-189","accuracy",60,49,0.816666666666667,0.750128000014229
"144","sub-189","speed",60,50,0.833333333333333,0.485634849959752
"145","sub-195","accuracy",60,60,1,0.606348150002304
"146","sub-195","speed",60,57,0.95,0.62812245002715
"147","sub-197","accuracy",60,39,0.65,3.84092822899402
"148","sub-197","speed",60,37,0.616666666666667,4.02757033349189
"149","sub-205","accuracy",60,54,0.9,1.02978295
"150","sub-205","speed",60,51,0.85,1.01918405
"151","sub-207","accuracy",60,40,0.666666666666667,1.31198768699869
"152","sub-207","speed",60,39,0.65,1.02505408250181
"153","sub-209","accuracy",60,32,0.533333333333333,0.986587909501395
"154","sub-209","speed",60,40,0.666666666666667,0.985808167999494
"155","sub-216","accuracy",60,37,0.616666666666667,3.65888897900026
"156","sub-216","speed",60,36,0.6,1.91424602050006
"157","sub-217","accuracy",60,37,0.616666666666667,1.39565100000255
"158","sub-217","speed",60,41,0.683333333333333,2.58838570000444
"159","sub-218","accuracy",60,35,0.583333333333333,1.81604968650027
"160","sub-218","speed",60,34,0.566666666666667,1.51286722850091
"161","sub-222","accuracy",60,38,0.633333333333333,3.69332959749954
"162","sub-222","speed",60,42,0.7,1.62239174999922
"163","sub-223","accuracy",60,60,1,0.818519872496836
"164","sub-223","speed",60,51,0.85,0.545916056995338
"165","sub-224","accuracy",60,43,0.716666666666667,5.7576086409972
"166","sub-224","speed",60,46,0.766666666666667,1.52652025249699
"167","sub-225","accuracy",60,49,0.816666666666667,3.69218476800597
"168","sub-225","speed",60,41,0.683333333333333,1.79387000150746
"169","sub-227","accuracy",60,54,0.9,0.913340231010807
"170","sub-227","speed",60,51,0.85,1.05719262598723
"171","sub-228","accuracy",60,52,0.866666666666667,0.916746200062335
"172","sub-228","speed",60,55,0.916666666666667,0.740994099993258
"173","sub-234","accuracy",60,43,0.716666666666667,1.97756263849942
"174","sub-234","speed",60,40,0.666666666666667,1.09475442700022
